City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
270,Villarrica,PY,-25.75,-56.4333,88.23,28,0,8.55,clear sky
271,Batagay,RU,67.6333,134.6333,-35.0,99,99,2.53,overcast clouds
272,Kautokeino,NO,69.0125,23.0412,7.65,96,100,10.71,light snow
273,Iquitos,PE,-3.7481,-73.2472,78.84,94,100,5.75,overcast clouds
274,Meghraj,IN,23.5,73.5,72.46,34,18,13.0,few clouds
275,Grand Gaube,MU,-20.0064,57.6608,77.4,69,2,11.01,clear sky
276,Turukhansk,RU,65.8167,87.9833,-22.04,98,100,6.96,overcast clouds
277,Eureka,US,40.8021,-124.1637,50.2,79,84,1.99,broken clouds
278,Saint-Pierre,RE,-21.3393,55.4781,74.91,78,0,5.75,clear sky
279,Safi,MA,32.2994,-9.2372,66.4,84,7,15.26,clear sky
280,Meulaboh,ID,4.1363,96.1285,74.71,96,100,7.94,light rain
281,Alta Floresta,BR,-9.8756,-56.0861,83.89,66,86,4.68,overcast clouds
282,Iskateley,RU,67.6803,53.1512,6.87,93,100,13.49,overcast clouds
283,Vila,PT,42.0304,-8.1588,49.08,95,100,6.58,overcast clouds
284,Point Pedro,LK,9.8167,80.2333,77.49,83,10,9.08,clear sky
285,Sørland,NO,67.667,12.6934,26.46,74,100,9.48,light snow
286,Oktyabr'skoye,RU,43.0645,44.7417,28.54,100,96,2.24,fog
287,Shambu,ET,9.5667,37.1,54.81,67,100,0.94,overcast clouds
288,Peleduy,RU,59.6289,112.7406,-13.14,96,100,6.24,overcast clouds
289,Longyearbyen,SJ,78.2186,15.6401,-0.56,65,75,11.5,light shower snow
290,Pangnirtung,CA,66.1451,-65.7125,14.0,85,75,2.3,broken clouds
291,Vostok,RU,46.4856,135.8833,-15.39,98,100,4.63,overcast clouds
292,Storm Lake,US,42.6411,-95.2097,34.84,100,100,34.52,mist
293,Batagay-Alyta,RU,67.8006,130.4114,-34.85,87,90,4.83,overcast clouds
294,Gwadar,PK,25.1216,62.3254,73.13,43,0,3.11,clear sky
295,Margate,GB,51.3813,1.3862,36.7,71,100,4.0,overcast clouds
296,Khandyga,RU,62.6667,135.6,-54.85,99,73,1.52,broken clouds
297,Koumac,NC,-20.5667,164.2833,77.77,74,2,1.61,clear sky
298,Kostomuksha,RU,64.571,30.5767,15.89,94,100,9.08,overcast clouds
299,Neepawa,CA,50.2289,-99.4664,28.8,96,100,10.09,overcast clouds
300,Otradnoye,RU,59.7775,30.8181,26.65,89,82,10.18,broken clouds
301,Luganville,VU,-15.5333,167.1667,80.2,77,33,9.04,scattered clouds
302,Sitka,US,57.0531,-135.33,37.29,81,75,6.91,broken clouds
303,Benguela,AO,-12.5763,13.4055,76.12,75,65,4.74,broken clouds
